ena_accession	sample	unit	fq1	fq2	host	country	variant.data
ERR273937	PDB12-42	2	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR273937_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR273937_2.fastq.gz	Dog	Chad	MIT
ERR273938	PDB12-43	2	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR273938_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR273938_2.fastq.gz	Dog	Chad	MIT
ERR563503	PDB13-8	2	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR563503_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR563503_2.fastq.gz	Dog	Chad	MIT
ERR563511	PDB13-27	2	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR563511_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR563511_2.fastq.gz	Dog	Chad	MIT
ERR1243213	PDB14-100	2	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1243213_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1243213_2.fastq.gz	Human	Chad	MIT
ERR1243224	PDB15-18	2	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1243224_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR1243224_2.fastq.gz	Human	Chad	MIT
ERR319496	PDB12-37	3	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR319496_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR319496_2.fastq.gz	Dog	Chad	MIT
ERR563514	PDB13-8	3	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR563514_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR563514_2.fastq.gz	Dog	Chad	MIT
ERR563522	PDB13-27	3	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR563522_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR563522_2.fastq.gz	Dog	Chad	MIT
ERR319497	PDB12-37	4	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR319497_1.fastq.gz	/mnt/md0/guinea_worm/ena_downloads/ena_all/ERR319497_2.fastq.gz	Dog	Chad	MIT
